Nrr1,Clsdt,Nrrdata
NRI01,2010/12/7,2.5
NRI01,2010/12/8,2.5
NRI01,2010/12/9,2.5
NRI01,2010/12/10,2.5
NRI01,2010/12/11,2.5
NRI01,2010/12/12,2.5
NRI01,2010/12/13,2.5
NRI01,2010/12/14,2.5
NRI01,2010/12/15,2.5
NRI01,2010/12/16,2.5
NRI01,2010/12/17,2.5
NRI01,2010/12/18,2.5
NRI01,2010/12/19,2.5
NRI01,2010/12/20,2.5
NRI01,2010/12/21,2.5
NRI01,2010/12/22,2.5
NRI01,2010/12/23,2.5
NRI01,2010/12/24,2.5
NRI01,2010/12/25,2.5
NRI01,2010/12/26,2.75
NRI01,2010/12/27,2.75
NRI01,2010/12/28,2.75
NRI01,2010/12/29,2.75
NRI01,2010/12/30,2.75
NRI01,2010/12/31,2.75
NRI01,2011/1/1,2.75
NRI01,2011/1/2,2.75
NRI01,2011/1/3,2.75
NRI01,2011/1/4,2.75
NRI01,2011/1/5,2.75
NRI01,2011/1/6,2.75
NRI01,2011/1/7,2.75
NRI01,2011/1/8,2.75
NRI01,2011/1/9,2.75
NRI01,2011/1/10,2.75
NRI01,2011/1/11,2.75
NRI01,2011/1/12,2.75
NRI01,2011/1/13,2.75
NRI01,2011/1/14,2.75
NRI01,2011/1/15,2.75
NRI01,2011/1/16,2.75
NRI01,2011/1/17,2.75
NRI01,2011/1/18,2.75
NRI01,2011/1/19,2.75
NRI01,2011/1/20,2.75
NRI01,2011/1/21,2.75
NRI01,2011/1/22,2.75
NRI01,2011/1/23,2.75
NRI01,2011/1/24,2.75
NRI01,2011/1/25,2.75
NRI01,2011/1/26,2.75
NRI01,2011/1/27,2.75
NRI01,2011/1/28,2.75
NRI01,2011/1/29,2.75
NRI01,2011/1/30,2.75
NRI01,2011/1/31,2.75
NRI01,2011/2/1,2.75
NRI01,2011/2/2,2.75
NRI01,2011/2/3,2.75
NRI01,2011/2/4,2.75
NRI01,2011/2/5,2.75
NRI01,2011/2/6,2.75
NRI01,2011/2/7,2.75
NRI01,2011/2/8,2.75
NRI01,2011/2/9,3
NRI01,2011/2/10,3
NRI01,2011/2/11,3
NRI01,2011/2/12,3
NRI01,2011/2/13,3
NRI01,2011/2/14,3
NRI01,2011/2/15,3
NRI01,2011/2/16,3
NRI01,2011/2/17,3
NRI01,2011/2/18,3
NRI01,2011/2/19,3
NRI01,2011/2/20,3
NRI01,2011/2/21,3
NRI01,2011/2/22,3
NRI01,2011/2/23,3
NRI01,2011/2/24,3
